#PicoHarp 300  Histogram Data			02/09/2013 15:34										
#channels per curve													
11000													
#display curve no.													
0	1	2	3	4	5								
memory block no.													
P-grnf1	P-grnf2	IRF1	IRF2	4	P_redfilter								
#ns/channel													
"0,0040"	"0,0040"	"0,0040"	"0,0040"	"0,0040"	"0,0040"								
Counts	Counts	Counts	Counts	Counts	Counts	t[ns]	Intens.	t[ns]	Intens.	t[ns]	Intens.	t[ns]	Intens.
24	9	2	10	0	1	2.0894	0	2.1534	0	2.0967	0	2.1691	0
21	8	4	9	0	2	2.0967	1	2.1607	0	2.1041	2	2.1764	1
16	10	3	8	0	4	2.1041	0	2.1681	0	2.1114	2	2.1838	0
18	11	7	5	0	2	2.1114	1	2.1754	0	2.1187	0	2.1911	0
17	8	3	4	0	5	2.1187	1	2.1827	0	2.1261	1	2.1984	0
21	7	1	5	0	4	2.1261	1	2.1901	0	2.1334	3	2.2058	0
21	3	2	7	0	3	2.1334	0	2.1974	0	2.1407	0	2.2131	0
9	8	1	4	0	5	2.1407	1	2.2047	0	2.148	3	2.2204	0
16	7	2	4	0	0	2.148	0	2.212	1	2.1554	2	2.2277	0
21	14	3	7	0	5	2.1554	1	2.2194	0	2.1627	5	2.2351	0
13	9	1	4	0	1	2.1627	2	2.2267	0	2.17	3	2.2424	0
17	8	1	6	0	1	2.17	1	2.234	0	2.1774	5	2.2497	0
21	16	0	2	0	1	2.1774	0	2.2414	0	2.1847	2	2.2571	0
19	5	1	6	0	1	2.1847	2	2.2487	0	2.192	1	2.2644	0
21	9	4	6	0	0	2.192	1	2.256	0	2.1994	1	2.2717	0
25	17	2	5	0	5	2.1994	0	2.2634	0	2.2067	3	2.2791	0
19	10	1	4	0	6	2.2067	0	2.2707	0	2.214	2	2.2864	0
16	8	2	5	0	3	2.214	2	2.278	0	2.2214	1	2.2937	0
14	11	2	3	0	3	2.2214	2	2.2854	0	2.2287	2	2.3011	0
20	8	3	5	0	1	2.2287	1	2.2927	0	2.236	2	2.3084	0
13	5	1	8	0	5	2.236	1	2.3	0	2.2434	2	2.3157	0
12	7	2	0	0	3	2.2434	1	2.3074	0	2.2507	3	2.3231	1
17	10	0	6	0	4	2.2507	0	2.3147	0	2.258	2	2.3304	0
